Altium Designer Pick and Place Locations
G:\Altium\Projects\RetroCore Watch\Project Outputs for H-CUBE\Generate Files\Generates pick and place files\Pick Place for H-CUBE.txt

========================================================================================================================
File Design Information:

Date:       07-11-25
Time:       21:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint           Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                           
B4         CUS-12TB            BottomLayer CUS-12TB            1674.823      1383.426      270      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C31        100nf               BottomLayer 0603_CER_CAP        1059.862      112.207       270      "0603 ceramic capacitor"                                                                                                                                                                                                                                                                                                                                                                                                                              
C30        100nf               BottomLayer 0603_CER_CAP        1165.748      113.031       270      "0603 ceramic capacitor"                                                                                                                                                                                                                                                                                                                                                                                                                              
R39        10K                 BottomLayer 0603_SMD_RES        566.985       46.715        0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C29        100nf               BottomLayer 0603_CER_CAP        1266.837      944.055       0        "0603 ceramic capacitor"                                                                                                                                                                                                                                                                                                                                                                                                                              
NT7        NT                  TopLayer    NT'                 1398.997      179.654       0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NT5        NT                  TopLayer    NT'                 50.249        268.562       180      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NT6        NT                  BottomLayer NT'                 1327.362      116.890       270      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NT4        NT                  TopLayer    NT'                 1610.132      1364.685      90       ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NT3        NT                  BottomLayer NT'                 697.806       379.882       0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NT2        NT                  BottomLayer NT'                 1104.685      524.724       0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NT1        NT                  BottomLayer NT'                 803.976       588.925       270      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
X3         S8050               BottomLayer S8050_J3Y           372.043       1223.434      0        "igh Current General Purpose NPN transistor Eqv MBT8050LT1G, BC817"                                                                                                                                                                                                                                                                                                                                                                                   
X2         S8050               BottomLayer S8050_J3Y           546.944       1223.435      0        "igh Current General Purpose NPN transistor Eqv MBT8050LT1G, BC817"                                                                                                                                                                                                                                                                                                                                                                                   
X1         "BC847 NPN"         TopLayer    BC847               1225.821      1563.190      0        "Transistors Bipolar NPN 45V 100MA 100MHZ SOT23, SMD Eqv of BC547"                                                                                                                                                                                                                                                                                                                                                                                    
U12        LP38690SDX-3.3/NOPB TopLayer    LP38690SDX-3.3/NOPB 110.000       490.000       180      "LDO Voltage Regulators 1-A 10-V low-dropo ut voltage regulator A 926-LP38690SD33NOPB"                                                                                                                                                                                                                                                                                                                                                                
U11        USBLC6-2SC6         TopLayer    USBLC6-2SC6         450.000       800.000       0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
U10        BMI270              TopLayer    BMI270              1124.980      115.000       0        "The BMI270 is an ultra-low power smart IMU optimized for wearable and hearable applications"                                                                                                                                                                                                                                                                                                                                                         
S4         97R02ST             BottomLayer 97R02ST             782.828       1708.554      180      ""                                                                                                                                                                                                                                                                                                                                                                                                                                                    
